"candidate_code","final_winner"
"2-1274-34","YES"
"2-201-1142-13","YES"
"2-1685-42","YES"
"2-1249-103","YES"
"3-1177-15","YES"
"3-1306-4","YES"
"3-1441-18","YES"
"3-1541-2","YES"
"3-1093-1","YES"
"3-1593-34","YES"
"7-1305-2","YES"
"7-1441-13","YES"
"7-1174-64","YES"
"7-1297-6","YES"
"8-1250-7","YES"
"8-1265-2068","YES"
"10-1009-62","YES"
"10-1094-8","YES"
"10-1461-3","YES"
"10-1297-134","YES"
"14-1505-17","YES"
"14-1637-2","YES"
"14-1001-92","YES"
"14-1593-47","YES"
"14-1541-88","YES"
"15-1233-5","YES"
"15-1665-1024","YES"
"15-1273-6","YES"
"15-1437-1006","YES"
"16-1606-1337-36","YES"
"16-1297-19","YES"
"17-1477-79","YES"
"17-1537-10","YES"
"17-1313-12","YES"
"17-1169-15","YES"
"17-1445-46","YES"
"17-1233-47","YES"
"17-1461-78","YES"
"17-1585-6","YES"
"17-1553-23","YES"
"20-1185-1006","YES"
"20-1241-2033","YES"
"20-1418-1","YES"
"20-1685-1020","YES"
"22-1305-22","YES"
"22-1417-91","YES"
"22-1297-72","YES"
"22-1094-16","YES"
"22-1185-1","YES"
"24-1325-65","YES"
"24-1581-41","YES"
"24-1297-16","YES"
"24-1441-6","YES"
"25-1601-1","YES"
"25-1313-24","YES"
"25-1593-33","YES"
"26-1273-7","YES"
"26-1593-5","YES"
"26-1461-2","YES"
"28-1505-17","YES"
"28-1437-1025","YES"
"28-1397-11","YES"
"28-1441-3","YES"
"28-1141-1030","YES"
"29-1005-2","YES"
"29-1346-2026","YES"
"29-1329-2014","YES"
"29-1334-2038","YES"
"29-1505-2034","YES"
"29-1545-3","YES"
"29-1142-2015","YES"
"29-1226-2033","YES"
"29-1541-1007","YES"
"33-1142-15","YES"
"33-1505-16","YES"
"33-1541-1","YES"
"33-1305-4","YES"
"33-1397-26","YES"
"34-1390-6","YES"
"34-1033-16","YES"
